Species,Max-Elevation_m,Min_Body_mass_g,Max_Body_mass_g,min-length-cm,max-length-cm,Beak.Length_Culmen,Beak.Width,Wing.Length,Mass,Trophic.Level,Trophic.Niche,Habitat,Habitat.Density,Migration,Primary.Lifestyle,Longitude,Latitude,Location,Province,Country,Continent,Years_sampling,Environment,Sites_code,Tissue,Digestion method,Temp (Degree Celcius),Identification,Number_of_species,Number_of_MP_detected_in_species,Average_weight (gm),Wing size (mm),Average_age,TNMP,Mppersp,Includes_microplastic,Level,Mpperg,ng/g,particle /mg,Size MP (mm),20-50,50-100,100-500,500-1000,>1000,Films,Foam,Fragments,Fiber/thread,Pellets,Others,Cellulose,PE,Acrylic,PP,PA,PS,PVC,Nylon,PET,PES,Rayon,Cotton,Polyacrylic,Others,Blue,Transparent/white,Yellow,Red/Brown,black,Others,total
Gallus gallus,3050 ,,2580.20 ,,,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,72.35 ,31.33 ,,Punjab,Pakistan,Asia,2022,Farm,24,ALL,,,,24,,1.6,,42.52,1227,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallus gallus,3050 ,,2580.20 ,,,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,72.35 ,31.33 ,,Punjab,Pakistan,Asia,2022,Farm,,crop,,,,,,,,,429,17.8,Y,Moderate,,,,,15.69,21.08,63.23,,,1.1,,63.89,29.98,2.95,2.08,,,,,,,,,,,,,,,13.24,17.387,23.084,32.06,,14.23,100.0
Gallus gallus,3050 ,,2580.20 ,,,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,72.35 ,31.33 ,,Punjab,Pakistan,Asia,2022,Farm,,gizzard,,,,,,,,,798,33.3,Y,Moderate,,,,,38.92,14.02,47.06,,,,,53.88,36.87,7.01,2.84,,,,,,,,,,,,,,,9.19,17.72,32.11,18.92,,22.1,100.0
Gallus gallus,3050 ,,2580.20 ,,,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,72.35 ,31.33 ,,Punjab,Pakistan,Asia,2022,Farm,,crop,,,,,,,,,,11.5,Y,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallus gallus,3050 ,,2580.20 ,,,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,72.35 ,31.33 ,,Punjab,Pakistan,Asia,2022,Farm,,crop,,,,,,,,,,17.2,Y,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallus gallus,3050 ,,2580.20 ,,,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,72.35 ,31.33 ,,Punjab,Pakistan,Asia,2022,Farm,,crop,,,,,,,,,,11.5,Y,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallus gallus,3050 ,,2580.20 ,,,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,72.35 ,31.33 ,,Punjab,Pakistan,Asia,2022,Farm,,crop,,,,,,,,,,14.8,Y,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallus gallus,3050 ,,2580.20 ,,,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,72.35 ,31.33 ,,Punjab,Pakistan,Asia,2022,Farm,,crop,,,,,,,,,,16.2,Y,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallus gallus,3050 ,,2580.20 ,,,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,72.35 ,31.33 ,,Punjab,Pakistan,Asia,2022,Farm,,crop,,,,,,,,,,26.8,Y,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallus gallus,3050 ,,2580.20 ,,,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,72.35 ,31.33 ,,Punjab,Pakistan,Asia,2022,Farm,,crop,,,,,,,,,,19.3,Y,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallus gallus,3050 ,,2580.20 ,,,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,72.35 ,31.33 ,,Punjab,Pakistan,Asia,2022,Farm,,gizzard,,,,,,,,,,29.0,Y,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallus gallus,3050 ,,2580.20 ,,,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,72.35 ,31.33 ,,Punjab,Pakistan,Asia,2022,Farm,,gizzard,,,,,,,,,,31.4,Y,Maxmimum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallus gallus,3050 ,,2580.20 ,,,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,72.35 ,31.33 ,,Punjab,Pakistan,Asia,2022,Farm,,gizzard,,,,,,,,,,18.7,Y,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallus gallus,3050 ,,2580.20 ,,,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,72.35 ,31.33 ,,Punjab,Pakistan,Asia,2022,Farm,,gizzard,,,,,,,,,,44.7,Y,Maxmimum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallus gallus,3050 ,,2580.20 ,,,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,72.35 ,31.33 ,,Punjab,Pakistan,Asia,2022,Farm,,gizzard,,,,,,,,,,35.1,Y,Maxmimum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallus gallus,3050 ,,2580.20 ,,,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,72.35 ,31.33 ,,Punjab,Pakistan,Asia,2022,Farm,,gizzard,,,,,,,,,,32.1,Y,Maxmimum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallus gallus,3050 ,,2580.20 ,,,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,72.35 ,31.33 ,,Punjab,Pakistan,Asia,2022,Farm,,gizzard,,,,,,,,,,40.1,Y,Maxmimum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallus gallus,3050 ,,2580.20 ,,,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,72.35 ,31.33 ,,Punjab,Pakistan,Asia,2022,Farm,,gizzard,,,,,,,,,,35.0,Y,Maxmimum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallus gallus,3050 ,,2580.20 ,,,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,-90.22 ,20.36 ,,Pucnachen,Mexico,North America,2016,Farm,,crop,,,,,,,,,,32.4,Y,Maxmimum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallus gallus,3050 ,,2580.20 ,,,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,-90.22 ,20.36 ,,Pucnachen,Mexico,North America,2016,Farm,,gizzard,,,,,,,,,,57.0,Y,Maxmimum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallus gallus,3050 ,,2580.20 ,,,30.90 ,8.90 ,218.20 ,751.70 ,Herbivore,Omnivore,Forest,1,1,Terrestrial,-90.22 ,20.36 ,,Pucnachen,Mexico,North America,2016,Farm,,crop,,,,,,,,,,11.0,Y,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
